precio,tipo_inmueble,alcaldia,estado,m2,recamaras,banos,estacionamientos,url,fuente,precio_por_m2
19000.0,casa,Cuajimalpa,Ciudad de México,150.0,3.0,1.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-23b16a365c5e-11c2-19dd461-8b4b-7efe,lamudi,126.66666666666667
17000.0,departamento,Cuajimalpa,Ciudad de México,100.0,1.0,1.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-851e22727f13-feb5-19e4804-80a5-7053,lamudi,170.0
60000.0,local,Cuajimalpa,Ciudad de México,300.0,,2.0,,https://www.lamudi.com.mx/detalle/41032-73-876383038068-ef74-19ac31c-b5e7-74a0,lamudi,200.0
44100.0,local,Cuajimalpa,Ciudad de México,245.0,,1.0,3.0,https://www.lamudi.com.mx/detalle/41032-73-aaeb45fd3c1d-e73f-86aefd26-b2d0-375c,lamudi,180.0
8000.0,oficina,Cuajimalpa,Ciudad de México,26.0,,,2.0,https://www.lamudi.com.mx/detalle/41032-73-a16f405c6e7e-8b03-19e047e-875a-7391,lamudi,307.6923076923077
24031.0,departamento,Cuajimalpa,Ciudad de México,63.0,1.0,2.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-6a26d4920018-ee6a-19cea1c-9ee2-77b1,lamudi,381.44444444444446
21000.0,departamento,Cuajimalpa,Ciudad de México,47.0,1.0,1.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-ce2c7611fffc-f633-19cea1c-b85e-72e3,lamudi,446.8085106382979
24500.0,departamento,Cuajimalpa,Ciudad de México,90.0,2.0,2.0,2.0,https://www.lamudi.com.mx/detalle/41032-73-a66989c4ba10-4e50-1993aad-9984-7197,lamudi,272.22222222222223
16500.0,local,Cuajimalpa,Ciudad de México,150.0,,,,https://www.lamudi.com.mx/detalle/41032-73-a3a27cbffe7-7163-428091f0-b479-36fd,lamudi,110.0
6000.0,local,Cuajimalpa,Ciudad de México,18.0,,1.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-3810a4339d18-ca09-19e76be-8a45-708d,lamudi,333.3333333333333
14600.0,departamento,Cuajimalpa,Ciudad de México,73.0,1.0,1.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-da7953ad004d-dabb-19e76be-a646-7a60,lamudi,200.0
49900.0,oficina,Cuajimalpa,Ciudad de México,130.0,,,5.0,https://www.lamudi.com.mx/detalle/41032-73-311c90b77d59-541c-19d0e55-a2c0-7f82,lamudi,383.84615384615387
